ncm,capitulo,trayectoria,entrada,salida,descripcion_trayectoria
8401.10.00,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8401.20.00,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8401.40.00,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8402.11.00,84,G1,2022-08-25,2023-12-27,bajo licencia desde agosto de 2022
8402.12.00,84,G1,2022-08-25,2023-12-27,bajo licencia desde agosto de 2022
8402.19.00,84,G1,2022-08-25,2023-12-27,bajo licencia desde agosto de 2022
8402.20.00,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8402.90.00,84,G1,2022-08-25,2023-12-27,bajo licencia desde agosto de 2022
8403.10.90,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8403.90.00,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8404.10.10,84,G1,2022-08-25,2023-12-27,bajo licencia desde agosto de 2022
8404.10.20,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8404.20.00,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8404.90.10,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8404.90.90,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8405.10.00,84,G1,2022-08-25,2023-12-27,bajo licencia desde agosto de 2022
8405.90.00,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8406.10.00,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8406.81.00,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8406.82.00,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8406.90.11,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8406.90.19,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8406.90.21,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8406.90.29,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8406.90.90,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8407.10.00,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8407.21.10,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8407.21.90,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8407.29.10,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8407.29.90,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8407.90.00,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8408.10.10,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8408.10.90,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8408.90.10,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8408.90.90,84,G1,2022-08-25,2023-12-27,bajo licencia desde agosto de 2022
8409.10.00,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8410.11.00,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8410.12.00,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8410.13.00,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8410.90.00,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8411.11.00,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8411.12.00,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8411.21.00,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8411.22.00,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8411.81.00,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8411.82.00,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8411.91.00,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8411.99.00,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
8412.10.00,84,G2,2022-10-04,2023-12-27,incorporada en octubre de 2022
