ncm,capitulo,marca_aec,res_1_2022_agosto,res_26_2022_octubre,entrada,salida
0203.19.00,02,,si,si,2022-08-25,2023-12-27
0203.29.00,02,,si,si,2022-08-25,2023-12-27
0207.11.00,02,,si,si,2022-08-25,2023-12-27
0207.12.00,02,,si,si,2022-08-25,2023-12-27
0207.13.00,02,,si,si,2022-08-25,2023-12-27
0207.14.00,02,,si,si,2022-08-25,2023-12-27
0210.12.00,02,,si,si,2022-08-25,2023-12-27
0210.19.00,02,,si,si,2022-08-25,2023-12-27
0406.20.00,04,,si,si,2022-08-25,2023-12-27
0408.11.00,04,,si,si,2022-08-25,2023-12-27
0408.91.00,04,,si,si,2022-08-25,2023-12-27
0511.10.00,05,,si,si,2022-08-25,2023-12-27
0901.21.00,09,,si,si,2022-08-25,2023-12-27
1604.14.10,16,,si,si,2022-08-25,2023-12-27
1604.14.20,16,,si,si,2022-08-25,2023-12-27
1604.20.10,16,,si,si,2022-08-25,2023-12-27
1604.20.20,16,,si,si,2022-08-25,2023-12-27
1704.10.00,17,,si,si,2022-08-25,2023-12-27
1704.90.20,17,,si,si,2022-08-25,2023-12-27
1806.20.00,18,,si,si,2022-08-25,2023-12-27
1806.31.10,18,,si,si,2022-08-25,2023-12-27
1806.31.20,18,,si,si,2022-08-25,2023-12-27
1806.32.10,18,,si,si,2022-08-25,2023-12-27
1806.32.20,18,,si,si,2022-08-25,2023-12-27
1806.90.00,18,,si,si,2022-08-25,2023-12-27
1904.10.00,19,,si,si,2022-08-25,2023-12-27
1905.32.00,19,,si,si,2022-08-25,2023-12-27
1905.90.90,19,,si,si,2022-08-25,2023-12-27
2002.90.90,20,,si,si,2022-08-25,2023-12-27
2005.20.00,20,,si,si,2022-08-25,2023-12-27
2101.11.10,21,,si,si,2022-08-25,2023-12-27
2101.12.00,21,,si,si,2022-08-25,2023-12-27
2106.90.50,21,,si,si,2022-08-25,2023-12-27
2106.90.60,21,,si,si,2022-08-25,2023-12-27
2202.99.00,22,,si,si,2022-08-25,2023-12-27
2203.00.00,22,,si,si,2022-08-25,2023-12-27
2204.10.10,22,,si,si,2022-08-25,2023-12-27
2204.29.10,22,,si,si,2022-08-25,2023-12-27
2206.00.00,22,,si,no,2022-08-25,2022-10-04
2208.30.20,22,,si,si,2022-08-25,2023-12-27
2309.10.00,23,,si,si,2022-08-25,2023-12-27
2309.90.10,23,,si,si,2022-08-25,2023-12-27
2309.90.20,23,,si,si,2022-08-25,2023-12-27
2309.90.30,23,,si,si,2022-08-25,2023-12-27
2309.90.40,23,,si,si,2022-08-25,2023-12-27
2309.90.60,23,,si,si,2022-08-25,2023-12-27
2309.90.90,23,,si,si,2022-08-25,2023-12-27
2807.00.10,28,,si,si,2022-08-25,2023-12-27
2808.00.10,28,,no,si,2022-10-04,2023-12-27
2815.11.00,28,,si,si,2022-08-25,2023-12-27
2815.12.00,28,,si,si,2022-08-25,2023-12-27
2817.00.10,28,,si,si,2022-08-25,2023-12-27
2827.49.21,28,,si,si,2022-08-25,2023-12-27
2830.10.10,28,,si,si,2022-08-25,2023-12-27
2830.10.20,28,,si,si,2022-08-25,2023-12-27
2833.22.00,28,,si,si,2022-08-25,2023-12-27
2836.30.00,28,,si,si,2022-08-25,2023-12-27
2904.10.20,29,,si,si,2022-08-25,2023-12-27
2904.10.51,29,,si,si,2022-08-25,2023-12-27
2905.11.00,29,,si,si,2022-08-25,2023-12-27
2909.11.00,29,,si,si,2022-08-25,2023-12-27
2915.50.20,29,,si,si,2022-08-25,2023-12-27
2915.70.31,29,,si,si,2022-08-25,2023-12-27
2915.70.39,29,,no,si,2022-10-04,2023-12-27
2916.31.10,29,,si,si,2022-08-25,2023-12-27
2916.31.21,29,,si,si,2022-08-25,2023-12-27
2917.12.20,29,,si,si,2022-08-25,2023-12-27
2917.19.22,29,,si,si,2022-08-25,2023-12-27
2917.32.00,29,,si,si,2022-08-25,2023-12-27
2917.33.00,29,,si,si,2022-08-25,2023-12-27
2917.34.00,29,,si,si,2022-08-25,2023-12-27
2917.35.00,29,,si,si,2022-08-25,2023-12-27
2917.39.31,29,,si,si,2022-08-25,2023-12-27
2918.15.00,29,,si,si,2022-08-25,2023-12-27
